title,price,area,price_m2,lon,lat
Prodej bytu 1+kk 55 m² ,2800000, 55, 50909, 14.5081401426, 50.1039745039
Prodej bytu 2+kk 56 m² ,3912000, 56, 69857, 14.6215054084, 50.1151127867
Prodej bytu 2+1 52 m² ,3500000, 52, 67307, 14.536894476, 50.1069668584
Prodej bytu 2+kk 55 m² ,3500000, 55, 63636, 14.5755618, 50.1415477
Prodej bytu 2+1 52 m² ,3200000, 52, 61538, 14.5364681041, 50.1064986342
Prodej bytu 1+kk 52 m² ,3425000, 52, 65865, 14.5151435304, 50.1375970091
Prodej bytu 2+kk 60 m² ,3990000, 60, 66500, 14.5489331577, 50.1388134792
Prodej bytu 1+1 59 m² ,3500000, 59, 59322, 14.5518719334, 50.1044573974
Prodej bytu 2+kk 55 m² ,3299000, 55, 59981, 14.5758530516, 50.1418422007
Prodej bytu 2+kk 50 m² ,3650000, 50, 73000, 14.5014301199, 50.1272329114
Prodej bytu 2+kk 59 m² ,3890000, 59, 65932, 14.5632106228, 50.084444011
Prodej bytu 3+kk 62 m² ,3500000, 62, 56451, 14.5515627143, 50.1055226467
Prodej bytu 2+kk 54 m² ,3435000, 54, 63611, 14.5174800488, 50.110603028
Prodej bytu 2+kk 57 m² ,3378000, 57, 59263, 14.5174800488, 50.110603028
Prodej bytu 2+kk 50 m² ,3650000, 50, 73000, 14.5576127083, 50.1090388014
Prodej bytu 2+kk 51 m² ,3498161, 51, 68591, 14.5647, 50.116031
Prodej bytu 2+kk 64 m² ,3290000, 64, 51406, 14.5753255556, 50.144195
Prodej bytu 2+1 52 m² ,3500000, 52, 67307, 14.5374467757, 50.1071675382
Prodej bytu 2+kk 51 m² ,3500000, 56, 62500, 14.501846554, 50.1272501048
Prodej bytu 2+kk 55 m² ,3330000, 55, 60545, 14.5755618, 50.1415477
Prodej bytu atypické 86 m² ,3890000, 86, 45232, 14.5020202473, 50.1280481338
Prodej bytu 2+1 60 m² ,3500000, 60, 58333, 14.4878103867, 50.1062287871
Prodej bytu 2+1 61 m² ,3400000, 61, 55737, 14.5403264146, 50.1053202692
Prodej bytu 2+kk 69 m² ,3350000, 69, 48550, 14.5473202434, 50.139709963
Prodej bytu 2+kk 52 m² ,3300000, 52, 63461, 14.4999599457, 50.1081199646
Prodej bytu 2+kk 55 m² ,3195000, 55, 58090, 14.576731879, 50.14247362
Prodej bytu 2+kk 57 m² ,3880000, 57, 68070, 14.4972552, 50.1185432
Prodej bytu 2+1 65 m² ,3450000, 65, 53076, 14.5536007797, 50.1370983904
Prodej bytu 3+kk 66 m² ,3973200, 66, 60200, 14.509480969, 50.0915844815
Prodej bytu 2+1 52 m² ,3425000, 52, 65865, 14.5472370591, 50.104000883
Prodej bytu 2+kk 51 m² ,3534000, 51, 69294, 14.5174800488, 50.110603028
Prodej bytu 2+kk 53 m² ,3264000, 53, 61584, 14.5758977388, 50.1231418398
Prodej bytu 1+kk 58 m² ,3534000, 58, 60931, 14.4998411353, 50.1099390983
Prodej bytu 1+kk 57 m² ,3435000, 57, 60263, 14.5174800488, 50.110603028
Prodej bytu 2+kk 55 m² ,3800000, 55, 69090, 14.5632663489, 50.0848958134
Prodej bytu 3+kk 64 m² ,3490000, 64, 54531, 14.505506, 50.13615
Prodej bytu 2+kk 52 m² ,3300000, 52, 63461, 14.499959079, 50.1081234796
Prodej bytu 2+kk 53 m² ,3891340, 53, 73421, 14.5250956, 50.1100336
Prodej bytu 2+kk 53 m² ,3792167, 53, 71550, 14.5250956, 50.1100336
Prodej bytu 2+kk 53 m² ,3792330, 53, 71553, 14.5250956, 50.1100336
Prodej bytu 2+kk 53 m² ,3888423, 53, 73366, 14.5250956, 50.1100336
Prodej bytu 2+kk 53 m² ,3849572, 53, 72633, 14.5250956, 50.1100336
Prodej bytu 3+kk 70 m² ,3900000, 70, 55714, 14.519175, 50.1558638889
Prodej bytu 2+kk 59 m² ,3290000, 59, 55762, 14.4973602295, 50.1029510498
Prodej bytu 2+1 54 m² ,3300000, 54, 61111, 14.5374102762, 50.108603214
Prodej bytu 2+kk 53 m² ,3990000, 55, 72545, 14.505481, 50.132594
Prodej bytu 2+kk 54 m² ,3871059, 54, 71686, 14.5250956, 50.1100336
Prodej bytu 2+1 58 m² ,3300000, 58, 56896, 14.4859291776, 50.1055514675
Prodej bytu 2+kk 52 m² ,3850000, 52, 74038, 14.4988496604, 50.1091119247
Prodej bytu 3+kk 65 m² ,3490000, 65, 53692, 14.4988490297, 50.1166103264
Prodej bytu 3+kk 63 m² ,3800000, 63, 60317, 14.5457496643, 50.1030693054
Prodej bytu 2+kk 51 m² ,3435000, 51, 67352, 14.5174800488, 50.110603028
Prodej bytu 3+kk 70 m² ,3870000, 70, 55285, 14.519175, 50.1558638889
Prodej bytu 3+kk 70 m² ,3930000, 70, 56142, 14.519175, 50.1558638889
Prodej bytu 1+kk 69 m² ,3250000, 69, 47101, 14.5020330366, 50.1281514344
Prodej bytu 2+kk 57 m² ,3534000, 57, 62000, 14.5188536594, 50.1112318141
Prodej bytu 2+1 54 m² ,2789000, 54, 51648, 14.5096374887, 50.138136367
Prodej bytu 2+1 52 m² ,3050000, 52, 58653, 14.508017, 50.136878
Prodej bytu 1+kk 51 m² ,3350000, 57, 58771, 14.5277551, 50.1101013
Prodej bytu 2+kk 62 m² ,3690000, 62, 59516, 14.619669, 50.107825
Prodej bytu 2+1 55 m² ,3350000, 57, 58771, 14.4710367, 50.1001825
Prodej bytu 2+kk 56 m² ,3830000, 56, 68392, 14.519175, 50.1558638889
Prodej bytu 3+kk 70 m² ,3820000, 70, 54571, 14.519175, 50.1558638889
Prodej bytu 3+kk 73 m² ,3990000, 73, 54657, 14.519175, 50.1558638889
Prodej bytu 3+kk 70 m² ,3870000, 70, 55285, 14.519175, 50.1558638889
Prodej bytu 2+kk 54 m² ,3439000, 54, 63685, 14.5752374478, 50.1232211612
Prodej bytu 2+kk 52 m² ,3352400, 52, 64469, 14.5752374478, 50.1232211612
Prodej bytu 1+kk 51 m² ,3534000, 51, 69294, 14.5188536594, 50.1112318141
Prodej bytu 2+kk 60 m² ,3822200, 60, 63703, 14.5752374478, 50.1232211612
Prodej bytu 3+kk 58 m² ,3870000, 58, 66724, 14.4875047901, 50.1071672888
Prodej bytu 3+1 69 m² ,3895000, 69, 56449, 14.5303949409, 50.1057701071
Prodej bytu 2+kk 54 m² ,3827008, 54, 70870, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3942002, 54, 73000, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3810587, 54, 70566, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3810169, 54, 70558, 14.5250956, 50.1100336
Prodej bytu 2+kk 54 m² ,3707666, 54, 68660, 14.5250956, 50.1100336
